customer_id,customer_name,gender,age,city,registration_date,email
1001,Customer_1,male,50,Jakarta,2023-11-15,user1@mail.com
1002,Customer_2,female,18,Surabaya,2023-02-17,user2@mail.com
1003,Customer_3,Male,36,Jakarta,2023-03-02,user3@mail.com
1004,Customer_4,male,19,Surabaya,2023-12-03,user4@mail.com
1005,Customer_5,male,43,Medan,2023-01-26,user5@mail.com
1006,Customer_6,female,49,Bandung,2023-10-19,user6@mail.com
1007,Customer_7,Male,23,Jakarta,2023-09-14,user7@mail.com
1008,Customer_8,Male,49,Jakarta ,2023-01-08,user8@mail.com
1009,Customer_9,male,21,Medan,2023-04-23,user9@mail.com
1010,Customer_10,Female,28,Jakarta,2023-12-21,user10@mail.com
1011,Customer_11,male,34,Jakarta ,2023-09-10,user11@mail.com
1012,Customer_12,male,55,Jakarta,2023-06-29,user12@mail.com
1013,Customer_13,male,41,Surabaya,2023-07-26,user13@mail.com
1014,Customer_14,male,22,Jakarta,2023-10-30,
1015,Customer_15,female,51,Jakarta,2023-05-07,user15@mail.com
1016,Customer_16,Male,23,Jakarta,2023-02-25,user16@mail.com
1017,Customer_17,female,39,Medan,2023-08-02,user17@mail.com
1018,Customer_18,female,28,Jakarta,2023-01-14,user18@mail.com
1019,Customer_19,female,33,Jakarta ,2023-01-28,
1020,Customer_20,male,50,Surabaya,2023-03-19,user20@mail.com
1021,Customer_21,Female,26,Surabaya,2023-08-04,user21@mail.com
1022,Customer_22,Male,23,Jakarta,2023-12-31,user22@mail.com
1023,Customer_23,Female,33,Medan,2023-06-03,user23@mail.com
1024,Customer_24,female,46,Medan,2023-01-14,user24@mail.com
1025,Customer_25,female,20,Jakarta ,2023-07-06,user25@mail.com
1026,Customer_26,Female,37,Jakarta,2023-11-08,user26@mail.com
1027,Customer_27,Female,53,Surabaya,2023-01-07,user27@mail.com
1028,Customer_28,Female,36,Medan,2023-01-03,user28@mail.com
1029,Customer_29,female,43,Jakarta,2023-04-21,user29@mail.com
1030,Customer_30,female,20,Medan,2023-08-26,user30@mail.com
1031,Customer_31,Male,36,Medan,2023-12-29,user31@mail.com
1032,Customer_32,Male,37,Surabaya,2023-08-27,user32@mail.com
1033,Customer_33,female,49,Bandung,2023-10-01,user33@mail.com
1034,Customer_34,Female,24,Jakarta ,2023-10-21,user34@mail.com
1035,Customer_35,Female,58,Jakarta ,2023-08-15,user35@mail.com
1036,Customer_36,Male,50,Surabaya,2023-01-15,user36@mail.com
1037,Customer_37,female,57,Medan,2023-07-11,user37@mail.com
1038,Customer_38,Male,56,Jakarta,2023-04-29,user38@mail.com
1039,Customer_39,Male,35,Medan,2023-01-28,user39@mail.com
1040,Customer_40,male,57,Surabaya,2023-07-21,user40@mail.com
1041,Customer_41,male,18,Jakarta ,2023-02-08,user41@mail.com
1042,Customer_42,male,28,Medan,2023-09-30,user42@mail.com
1043,Customer_43,Female,45,Jakarta ,2023-08-19,user43@mail.com
1044,Customer_44,female,42,Jakarta,2023-03-27,user44@mail.com
1045,Customer_45,female,40,Jakarta ,2023-05-06,user45@mail.com
1046,Customer_46,female,48,Jakarta ,2023-10-27,user46@mail.com
1047,Customer_47,female,47,Bandung,2023-01-25,user47@mail.com
1048,Customer_48,male,59,Bandung,2023-05-25,user48@mail.com
1049,Customer_49,Female,52,Bandung,2023-01-13,user49@mail.com
1050,Customer_50,Female,24,Jakarta ,2023-07-31,user50@mail.com
1051,Customer_51,male,33,Surabaya,2023-01-25,user51@mail.com
1052,Customer_52,Female,43,Jakarta ,2023-03-09,user52@mail.com
1053,Customer_53,male,19,Surabaya,2023-03-08,user53@mail.com
1054,Customer_54,female,18,Surabaya,2023-08-21,user54@mail.com
1055,Customer_55,male,29,Bandung,2023-04-19,user55@mail.com
1056,Customer_56,female,22,Medan,2023-05-26,user56@mail.com
1057,Customer_57,female,54,Jakarta,2023-04-21,user57@mail.com
1058,Customer_58,Male,49,Bandung,2023-08-16,user58@mail.com
1059,Customer_59,male,26,Bandung,2023-04-21,user59@mail.com
1060,Customer_60,Male,58,Medan,2023-02-03,user60@mail.com
1061,Customer_61,male,52,Jakarta,2023-04-21,user61@mail.com
1062,Customer_62,male,36,Jakarta ,2023-09-21,user62@mail.com
1063,Customer_63,Male,33,Jakarta ,2023-08-24,user63@mail.com
1064,Customer_64,Male,20,Bandung,2023-03-24,user64@mail.com
1065,Customer_65,male,37,Jakarta,2023-02-11,user65@mail.com
1066,Customer_66,Female,41,Bandung,2023-04-11,user66@mail.com
1067,Customer_67,female,50,Surabaya,2023-01-06,user67@mail.com
1068,Customer_68,Male,41,Bandung,2023-06-29,user68@mail.com
1069,Customer_69,female,28,Bandung,2023-10-09,user69@mail.com
1070,Customer_70,Female,25,Jakarta ,2023-11-16,user70@mail.com
1071,Customer_71,Female,53,Jakarta ,2023-08-14,user71@mail.com
1072,Customer_72,Female,55,Jakarta ,2023-11-11,user72@mail.com
1073,Customer_73,Male,57,Surabaya,2023-12-31,user73@mail.com
1074,Customer_74,Female,37,Jakarta ,2023-08-17,user74@mail.com
1075,Customer_75,Male,52,Jakarta,2023-10-16,user75@mail.com
1076,Customer_76,Female,42,Medan,2023-05-30,user76@mail.com
1077,Customer_77,female,52,Jakarta,2023-10-04,user77@mail.com
1078,Customer_78,female,42,Jakarta,2023-07-17,user78@mail.com
1079,Customer_79,male,46,Jakarta ,2023-03-11,user79@mail.com
1080,Customer_80,female,35,Medan,2023-04-22,user80@mail.com
1081,Customer_81,male,35,Medan,2023-01-04,user81@mail.com
1082,Customer_82,female,19,Medan,2023-12-16,user82@mail.com
1083,Customer_83,Male,52,Surabaya,2023-11-27,user83@mail.com
1084,Customer_84,female,33,Jakarta ,2023-11-14,user84@mail.com
